elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,point_vector
577,1,2,16,0,0,1,0,30,40,2,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97,3,2,1,1
620,1,2,17,0,0,1,0,40,40,2,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124,2,2,0,2
645,1,2,18,0,0,1,0,40,41,2,1,9,9,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116,4,2,2,2
684,1,3,19,0,0,1,1,0,0,1,1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126,4,1,0,1
707,1,3,20,0,0,1,1,15,0,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127,5,1,1,1
737,1,3,21,0,0,1,1,30,0,1,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114,3,2,1,2
764,1,3,22,0,0,1,1,30,15,1,1,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127,1,2,2,1
806,1,3,23,0,0,1,1,40,15,1,2,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103,2,2,1,1
931,1,4,24,0,0,2,1,0,0,2,2,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107,2,2,2,2
975,1,4,25,0,0,2,1,0,15,2,1,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111,3,2,2,2
1007,1,4,26,0,0,2,1,0,30,2,1,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125,4,2,0,2
1028,1,4,27,0,0,2,1,0,40,2,1,13,14,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126,5,2,0,2
1069,1,5,28,0,0,2,2,0,0,1,1,14,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116,5,1,2,1
1105,1,5,29,0,0,2,2,15,0,1,1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,8.276,1,129,4,2,2,1
1130,1,5,30,0,0,2,2,30,0,1,1,16,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.974,12.523,3,110,2,2,2,1
1160,1,5,31,0,0,2,2,40,0,1,2,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.609,6.965,2,113,2,2,2,2
1203,1,5,32,0,0,2,2,40,15,1,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.518,12.74,2,104,2,2,1,2
1255,1,5,33,0,0,2,2,40,30,1,1,16,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.859,11.439,2,111,1,1,1,2
1287,1,5,34,0,0,2,2,40,40,1,2,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.782,25.6,5,97,4,1,1,1
1339,1,5,35,0,0,2,2,41,40,1,1,18,17,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.824,9.574,1,114,4,2,1,1
1342,1,6,36,0,0,3,2,0,0,2,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,6.11,1,110,5,1,2,2
1373,1,6,37,0,0,3,2,0,15,2,2,19,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.094,29.593,6,90,3,2,2,1
1565,1,6,38,0,0,3,2,15,15,2,1,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815,5.189,1,125,4,2,1,2
1590,1,6,39,0,0,3,2,15,30,2,1,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,2.617,1,127,1,2,2,2
1616,1,6,40,0,0,3,2,15,40,2,2,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043,4.667,1,111,3,2,2,2
1662,1,7,41,0,0,3,3,0,0,1,2,20,21,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.233,32.677,9,107,3,2,2,1
1717,1,7,42,0,0,3,3,15,0,1,1,21,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.872,19.138,3,120,4,2,2,1
1746,1,7,43,0,0,3,3,30,0,1,1,22,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,11.043,3,115,5,1,2,1
1772,1,7,44,0,0,3,3,40,0,1,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.076,18.664,6,104,3,2,1,2
1817,1,7,45,0,0,3,3,40,15,1,2,23,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.727,25.324,5,101,1,2,1,1
1954,1,8,46,0,0,4,3,0,0,2,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879,4.853,1,132,4,1,1,2
1977,1,8,47,0,0,4,3,0,15,2,2,24,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.929,0.93,0,0,5,1,0,1
2013,1,8,48,0,0,4,3,15,15,2,1,24,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427,0.849,1,130,4,1,0,2
2038,1,8,49,0,0,4,3,15,30,2,2,25,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.838,18.464,6,101,3,2,1,1
2086,1,8,50,0,0,4,3,30,30,2,2,26,24,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.781,54.356,16,106,1,2,1,1
2162,1,8,51,0,0,4,3,40,30,2,2,27,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29.677,19.121,6,106,1,2,2,1
2238,1,9,52,0,0,5,3,0,0,1,1,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341,4.725,1,115,3,2,1,1
2264,1,9,53,0,0,5,3,15,0,1,2,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.528,7.524,2,100,3,2,1,2
2306,1,9,54,0,0,5,3,15,15,1,1,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.227,6.116,1,122,2,2,1,1
2334,1,9,55,0,0,5,3,30,15,1,1,29,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.654,11.702,4,115,4,2,2,2
2369,1,9,56,0,0,5,3,30,30,1,1,30,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.34,11.519,3,129,4,2,2,1
2401,1,9,57,0,0,5,3,40,30,1,1,30,27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.299,8.077,2,113,3,2,0,2
2433,1,9,58,0,0,5,3,40,40,1,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.428,29.751,7,114,3,2,1,1
2483,1,9,59,0,0,5,3,41,40,1,2,31,28,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16.514,17.962,4,88,3,2,2,2
2551,1,9,60,0,0,5,3,40,40,1,1,31,29,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.882,23.411,6,123,2,2,1,2
2598,1,9,61,0,0,5,3,40,41,1,1,32,29,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.705,28.259,7,121,2,2,2,1
2639,1,9,62,0,0,5,3,40,40,1,1,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109,3.14,1,130,4,2,2,1
2669,1,9,63,0,0,5,3,41,40,1,1,34,29,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,16.592,19.606,3,132,3,2,2,1
2824,2,1,64,1,0,0,0,0,0,2,1,34,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621,0.843,1,123,4,2,0,2
2847,2,1,65,1,0,0,0,0,15,2,1,34,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896,0.864,1,117,4,2,0,2
2872,2,1,66,1,0,0,0,0,30,2,1,34,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.619,3.818,1,123,1,2,2,2
2897,2,1,67,1,0,0,0,0,40,2,1,34,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,6.471,1,122,4,1,2,2
2957,2,2,68,1,0,0,1,0,0,1,1,35,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,1.015,1,127,4,2,0,1
2978,2,2,69,1,0,0,1,15,0,1,2,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.754,3.715,1,102,3,2,2,1
3014,2,2,70,1,0,0,1,30,0,1,2,36,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.314,3.801,2,111,3,2,1,2
3070,2,2,71,1,0,0,1,30,15,1,1,36,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.48,40.171,12,118,2,2,1,2
3114,2,2,72,1,0,0,1,30,30,1,1,37,35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,1.682,1,126,4,2,0,1
3141,2,2,73,1,0,0,1,40,30,1,2,37,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.674,13.243,2,97,5,1,2,2
3186,2,2,74,1,0,0,1,40,40,1,2,37,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.494,9.222,2,105,2,2,1,2
3251,2,2,75,1,0,0,1,40,41,1,1,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.235,10.59,2,129,1,2,2,2
3296,2,3,76,1,0,0,2,0,0,2,1,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.125,7.455,1,126,4,1,1,2
3320,2,3,77,1,0,0,2,0,15,2,1,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.712,11.06,1,128,5,1,2,2
3350,2,3,78,1,0,0,2,0,30,2,1,37,41,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.788,5.077,3,108,3,2,1,2
3428,2,3,79,1,0,0,2,0,40,2,2,37,42,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.044,35.246,7,101,5,1,1,2
3562,2,4,80,1,0,0,3,0,0,1,2,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.924,44.017,10,106,1,2,1,2
3617,2,4,81,1,0,0,3,0,15,1,1,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.013,9.173,1,111,4,2,2,1
3641,2,4,82,1,0,0,3,15,15,1,1,39,43,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0.939,1,110,5,1,0,1
3681,2,4,83,1,0,0,3,30,15,1,1,39,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.844,40.876,8,119,4,1,1,2
3725,2,4,84,1,0,0,3,30,30,1,2,39,45,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.977,15.558,4,95,4,2,2,2
3774,2,4,85,1,0,0,3,30,40,1,2,40,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9.419,12.316,3,95,1,2,2,1
3830,2,4,86,1,0,0,3,40,40,1,1,41,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.306,18.004,3,102,3,1,2,1
3861,2,4,87,1,0,0,3,41,40,1,2,42,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74,38.948,11,120,1,2,1,1
3938,2,5,88,1,0,1,3,0,0,2,1,42,46,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.199,15.177,5,113,5,1,1,2
3976,2,5,89,1,0,1,3,0,15,2,1,42,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.273,7.428,1,128,5,2,1,2
4006,2,5,90,1,0,1,3,0,30,2,2,43,47,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.467,16.135,6,111,4,2,2,1
4062,2,5,91,1,0,1,3,15,30,2,1,44,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36.689,27.317,8,131,3,2,1,1
4106,2,5,92,1,0,1,3,30,30,2,1,45,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.829,32.608,10,134,4,2,1,1
4159,2,5,93,1,0,1,3,40,30,2,1,45,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,30.783,24.947,5,123,1,2,2,2
4224,2,5,94,1,0,1,3,40,40,2,2,46,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.903,38.624,10,107,4,2,2,1
4290,2,5,95,1,0,1,3,41,40,2,1,46,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,26.961,12.75,3,118,5,1,2,2
4328,2,5,96,1,0,1,3,40,40,2,1,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.211,4.663,1,131,4,2,2,2
4357,2,5,97,1,0,1,3,40,41,2,1,46,51,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20.629,16.426,5,129,3,2,0,2
4488,2,6,98,1,0,1,4,0,0,1,2,46,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.367,14.617,2,115,4,2,2,2
4527,2,6,99,1,0,1,4,0,15,1,1,47,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716,6.076,1,109,4,2,2,1
4555,2,6,100,1,0,1,4,15,15,1,2,47,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.607,6.246,2,91,4,2,2,2
4613,2,6,101,1,0,1,4,15,30,1,1,48,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.576,4.202,1,126,5,2,2,1
4642,2,6,102,1,0,1,4,30,30,1,1,49,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.352,19.512,1,108,1,2,1,1
4668,2,6,103,1,0,1,4,40,30,1,1,49,54,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.38,47.896,10,97,5,2,1,2
4710,2,6,104,1,0,1,4,40,40,1,1,50,54,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.675,16.449,3,127,4,2,0,1
4741,2,6,105,1,0,1,4,41,40,1,2,51,54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.157,1,121,4,2,0,1
4797,2,7,106,1,0,2,4,0,0,2,1,52,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.854,13.776,4,118,2,2,1,1
4831,2,7,107,1,0,2,4,15,0,2,1,52,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.377,13.994,3,128,5,2,1,2
4866,2,7,108,1,0,2,4,15,15,2,1,52,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.452,17.608,3,132,4,2,1,2
4901,2,7,109,1,0,2,4,15,30,2,1,52,57,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13.127,10.798,3,125,5,1,0,2
4935,2,7,110,1,0,2,4,15,40,2,1,53,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.298,14.758,2,108,5,2,2,1
4966,2,7,111,1,0,2,4,30,40,2,2,54,57,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,50.075,39.635,8,98,3,2,2,1
5038,2,7,112,1,0,2,4,40,40,2,2,55,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.142,28.309,8,115,2,2,1,1
4981,2,7,113,1,0,2,4,41,40,2,1,55,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11.436,5.977,1,120,4,1,2,2
5012,2,7,114,1,0,2,4,40,40,2,1,55,59,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,32.537,26.376,7,130,4,2,1,2
5177,2,7,115,1,0,2,4,40,41,2,1,56,59,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15.161,12.446,4,124,3,2,1,1
5219,2,7,116,1,0,2,4,40,40,2,2,57,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.033,22.001,6,113,1,1,2,1
5308,2,7,117,1,0,2,4,41,40,2,1,58,59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9.834,6.693,2,130,3,2,2,1
5429,2,8,118,1,0,3,4,0,0,1,1,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.388,3.901,1,109,5,1,2,1
5448,2,8,119,1,0,3,4,15,0,1,2,60,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.157,3.993,1,91,3,2,1,1
5481,2,8,120,1,0,3,4,30,0,1,2,61,59,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.182,15.422,3,100,1,2,1,1
5519,2,8,121,1,0,3,4,40,0,1,1,62,59,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.346,12.581,3,113,4,1,2,1
5565,2,9,122,1,0,4,4,0,0,2,1,63,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.636,7.568,2,130,2,2,1,1
5591,2,9,123,1,0,4,4,15,0,2,1,63,60,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.547,1.046,1,125,4,2,0,2
5617,2,9,124,1,0,4,4,15,15,2,2,63,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.077,3.731,1,106,4,2,2,2
5656,2,9,125,1,0,4,4,15,30,2,1,63,62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.731,4.601,1,123,4,2,1,2
5682,2,9,126,1,0,4,4,15,40,2,1,63,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.357,15.027,3,126,4,2,1,2
5788,2,10,127,1,0,4,5,0,0,1,1,64,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.517,10.031,1,127,4,2,1,1
5817,2,10,128,1,0,4,5,15,0,1,2,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.229,36.142,6,119,2,2,1,2
5881,2,10,129,1,0,4,5,15,15,1,2,65,64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.83,3.42,1,91,4,2,2,1
5923,2,10,130,1,0,4,5,30,15,1,1,66,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.24,55.37,7,115,2,2,2,1
5963,2,10,131,1,0,4,5,40,15,1,1,66,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.467,13.062,2,114,3,2,0,2
5996,2,10,132,1,0,4,5,40,30,1,1,67,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.941,24.158,5,119,4,2,2,1
6044,2,11,133,1,0,5,5,0,0,2,1,67,66,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.087,0.648,1,111,5,1,0,2
6070,2,11,134,1,0,5,5,0,15,2,1,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.276,4.743,1,132,1,1,1,2
6099,2,11,135,1,0,5,5,0,30,2,2,68,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.946,8.844,2,105,4,2,1,1
6142,2,11,136,1,0,5,5,15,30,2,1,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.855,13.468,3,132,3,1,2,2
6195,2,11,137,1,0,5,5,15,40,2,2,68,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.713,5.199,1,100,2,2,1,2
6324,2,12,138,1,0,5,6,0,0,1,1,69,69,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.323,7.217,1,129,4,2,1,1
6359,2,12,139,1,0,5,6,15,0,1,2,70,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.865,3.688,1,98,3,2,2,1
6398,2,12,140,1,0,5,6,30,0,1,2,71,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945,2.386,1,122,2,2,2,1
6437,2,12,141,1,0,5,6,40,0,1,1,72,69,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.845,42.672,3,129,2,2,2,1
6492,2,13,142,1,0,6,6,0,0,2,1,72,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.799,52.441,15,128,4,2,2,2
6551,2,13,143,1,0,6,6,0,1,1,1,73,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.871,5.357,1,127,1,2,1,1
6577,2,13,144,1,0,6,6,1,1,1,2,74,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.185,46.792,13,100,2,2,2,1
6692,2,13,145,1,0,6,6,2,1,2,1,74,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.273,6.262,1,128,5,1,2,2
6723,2,13,146,1,0,6,6,2,2,2,1,74,72,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.948,4.836,1,130,4,1,0,2
6761,2,13,147,1,0,6,6,2,3,1,1,75,72,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24.001,22.749,5,119,2,2,2,1
